STATE ABBREVIATION,STATE,DISTRICT,DISTRICT00,SPECIAL,JUNGLE,OPEN,ID_NUMCANDIDATES,ID_DISTRICTIDEOLOGY,NUMCANDIDATES,FECID,DISBURSEMENTS,TOTALDISBURSEMENT,DISBURSEMENTRATIO,INCUMBENT,CLOSEDSEAT,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME STANDARD,CANDIDATE NAME COMMA,PARTY,USERNAME,FOLLOWING,DWNOMINATE,CANDIDATEIDEOLOGY,RELIABLE,DISTRICTIDEOLOGY,PRIMARY VOTES,PRIMARY %,PRIMARYPERCENT,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
AK,Alaska,1,01,,0,0,AK01D,AK1D,3,H8AK00140,86024,101097.13,0.85,0,0,Alyse S.,Galvin,Alyse S. Galvin,"Galvin, Alyse S.",D,alysegalvin,900,n/a,-2.21,1,64.33916991,"21,742",0.54,53.62,,,"131,199",46.50%,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
AK,Alaska,1,01,,0,0,AK01D,AK1D,3,H8AK00132,15074,101097.13,0.15,0,0,Dimitri,Shein,Dimitri Shein,"Shein, Dimitri",D,sheindimitri,50,n/a,-3.32,1,64.33916991,"9,434",0.23,23.26,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
AK,Alaska,1,01,,0,0,AK01R,AK1R,3,H8AK01031,3092,66529.56,0.05,0,1,"Thomas ""John""",Nelson,"Thomas ""John"" Nelson","Nelson, Thomas ""John""",R,n/a,0,n/a,n/a,1,28.86212223,"10,913",0.16,15.57,,,,,,,,
WA,Washington,7,07,,1,0,WA07D,WA7D,1,H6WA07458,44852,44851.83,1.00,1,1,Pramila,Jayapal,Pramila Jayapal,"Jayapal, Pramila",D,PramilaJayapal,5000,-0.696,-2.52,1,64.87006536,"189,175",0.83,82.67,,,"329,800",83.56%,,,W,
AL,Alabama,1,01,,0,0,AL01D,AL1D,2,H8AL01066,9344,15014.63,0.62,0,0,"Robert, Jr.",Kennedy,Robert Kennedy,"Kennedy, Robert, Jr.",D,Kennedy4Alabama,1089,n/a,-1.55,1,n/a,"27,651",0.81,80.75,,,"89,226",36.78%,,,,
AL,Alabama,1,01,,0,0,AL01D,AL1D,2,H8AL01082,5671,15014.63,0.38,0,0,Lizzetta Hill,McConnell,Lizzetta Hill McConnell,"McConnell, Lizzetta Hill",D,lizzettamcconn1,157,n/a,n/a,1,n/a,"6,592",0.19,19.25,,,,,,,,
AL,Alabama,2,02,,0,0,AL02D,AL2D,2,H8AL02163,5788,69631.59,0.08,0,0,Audri Scott,Williams,Audri Scott Williams,"Williams, Audri Scott",D,audri4alabama,1752,n/a,-1.77,1,n/a,"13,315",0.40,39.55,,,,,,,,
AL,Alabama,2,02,,0,0,AL02D,AL2D,2,H8AL02197,63843,69631.59,0.92,0,0,Tabitha,Isner,Tabitha Isner,"Isner, Tabitha",D,TabithaK,1662,n/a,-2.11,1,n/a,"20,351",0.60,60.45,,,"86,931",38.43%,,,,
AL,Alabama,2,02,,0,1,AL02R,AL2R,5,H8AL02213,198672,682904.46,0.29,0,1,Bobby,Bright,Bobby Bright,"Bright, Bobby",R,BobbyBrightAL,0,n/a,n/a,1,n/a,"26,481",0.28,28.12,"22,795",32.05%,,,,,,
AL,Alabama,2,02,,0,1,AL02R,AL2R,5,H8AL02171,17819,682904.46,0.03,0,1,Barry,Moore,Barry Moore,"Moore, Barry",R,RepBarryMoore,2766,n/a,1.09,1,n/a,"18,177",0.19,19.30,,,,,,,,
